#,Issue / Feature Request,Category,Date,Owner,Status,Gemini Notes
21,E2E acknowledgment for safety-critical DEM events (silent drop risk at boot),Diagnostics,2026-05-13,,Untracked,https://docs.google.com/document/d/1QHyZeos6IQCaCP-EhYPTB1Ggs8eOSL4q4Am5BIFi0dI/edit?usp=drive_web&tab=t.3sot0e84a12a
22,DEM event flooding from repeated set_event_status calls (deduplication?),Diagnostics,2026-05-12,,Untracked,https://docs.google.com/document/d/1jlBPVN5Mr85wbYz-jnpbwZIO6X8J2k3ZHyeU5KwmY-U/edit?usp=drive_web&tab=t.j736hx8zdufi
23,Cross-zonal DTC reading via VDA (Vehicle Diagnostic Aggregator),Diagnostics,2026-05-13,,Untracked,https://docs.google.com/document/d/1QHyZeos6IQCaCP-EhYPTB1Ggs8eOSL4q4Am5BIFi0dI/edit?usp=drive_web&tab=t.3sot0e84a12a
24,RT call failure to DTC generation when set_DTC itself fails (no fallback path),Diagnostics,2026-05-13,,Untracked,https://docs.google.com/document/d/1QHyZeos6IQCaCP-EhYPTB1Ggs8eOSL4q4Am5BIFi0dI/edit?usp=drive_web&tab=t.3sot0e84a12a
25,AUTOSAR diagnostics modeling docs for payload applications,Diagnostics,2026-05-07,,Untracked,https://docs.google.com/document/d/1Zk4RMeKlUxYM1dO2YfqMObj6mwTv2s6M8zxCRkYCDrA/edit?usp=drive_web&tab=t.h05md97l9wkw
26,PDU application signal integrity validation,Diagnostics,2026-05-26,,Untracked,https://docs.google.com/document/d/1Li2EbuAkWzE1JvVKV33W9RMsWedrD0MNOKKEl0DYVXw/edit?usp=drive_web&tab=t.k69myej9j18
27,PDU application ATC (Adaptive Transport Configuration) setting,Diagnostics,2026-05-26,,Untracked,https://docs.google.com/document/d/1Li2EbuAkWzE1JvVKV33W9RMsWedrD0MNOKKEl0DYVXw/edit?usp=drive_web&tab=t.k69myej9j18
28,Zonal NVM persistence for configuration data across power cycles,Configuration,2026-04-21,,Untracked,https://docs.google.com/document/d/1e6TVBSXSC2wBa2UvaeGphZKJ41pq-W9NKgm1lPNtrfo/edit?tab=t.mrn9bhkr5fqx
29,Central SQLite database structure and application access API,Configuration,2026-04-21,,Untracked,https://docs.google.com/document/d/1e6TVBSXSC2wBa2UvaeGphZKJ41pq-W9NKgm1lPNtrfo/edit?tab=t.mrn9bhkr5fqx
30,Boot time quantification: zonal vs. central (validate 15s assumption),Configuration,2026-04-21,,Untracked,https://docs.google.com/document/d/1e6TVBSXSC2wBa2UvaeGphZKJ41pq-W9NKgm1lPNtrfo/edit?tab=t.mrn9bhkr5fqx
31,Execution manager registration and watchdog petting docs for applications,Configuration,2026-04-20,,Untracked,https://docs.google.com/document/d/1Gf9guntyratQv-z-E4738Xfar3BEyC8LdKh54SuAmUc/edit?tab=t.y36bw3q9c96a
32,Firmware variant management for ADC pin reuse across vehicle configs,Configuration,2026-05-12,,Untracked,https://docs.google.com/document/d/1jlBPVN5Mr85wbYz-jnpbwZIO6X8J2k3ZHyeU5KwmY-U/edit?usp=drive_web&tab=t.j736hx8zdufi
33,Classic vs. Adaptive AUTOSAR data type modeling separation workflow,Configuration,2026-05-08,,Untracked,https://docs.google.com/document/d/1PeOgB1M2phxDc_Y_g__-AOXLXItzekfsTkEBPUvuJcg/edit?usp=drive_web&tab=t.8dypuclsowjv
34,Formal API breaking change process (Markdown in every uprev; Komatsu review before merge),Process,2026-05-12,,Untracked,https://docs.google.com/document/d/1jlBPVN5Mr85wbYz-jnpbwZIO6X8J2k3ZHyeU5KwmY-U/edit?usp=drive_web&tab=t.j736hx8zdufi
35,Per-release development branches for stable snapshots,Process,2026-05-12,,Untracked,https://docs.google.com/document/d/1jlBPVN5Mr85wbYz-jnpbwZIO6X8J2k3ZHyeU5KwmY-U/edit?usp=drive_web&tab=t.j736hx8zdufi
36,RTE return type documentation (E_OK / NOT_OK / RTE_E_UNCONNECTED full list),Process,2026-05-12,,Untracked,https://docs.google.com/document/d/1jlBPVN5Mr85wbYz-jnpbwZIO6X8J2k3ZHyeU5KwmY-U/edit?usp=drive_web&tab=t.j736hx8zdufi
37,Polarian 3-tier requirements structure boundary definitions (Business/Product/Implementation),Process,2026-05-07,,Untracked,https://docs.google.com/document/d/1Zk4RMeKlUxYM1dO2YfqMObj6mwTv2s6M8zxCRkYCDrA/edit?usp=drive_web&tab=t.h05md97l9wkw
38,Traceability pipeline: Polarian requirements linked to code via comments,Process,2026-05-26,,Untracked,https://docs.google.com/document/d/1Li2EbuAkWzE1JvVKV33W9RMsWedrD0MNOKKEl0DYVXw/edit?usp=drive_web&tab=t.k69myej9j18
39,OH format change to asynchronous (agreed; Komatsu posts async),Process,2026-05-27,,Untracked,https://docs.google.com/document/d/1SCOf26Q8aU1k8f6o8gbgMuDBOOg87_Svmmj6i08Eyrc/edit?usp=drive_web&tab=t.rcqg3nqw9d4o
40,Controller file organization recommendation (by app / domain / zone),Hardware / Integration,2026-03-18,,Untracked,https://docs.google.com/document/d/1jSfMPxmNI73ETYzZMtK36xChvh2Fl7I6I2sq6Lf4t1U/edit?tab=t.hyznfxvun7i3
41,Variant management implications of controller grouping choices,Hardware / Integration,2026-03-18,,Untracked,https://docs.google.com/document/d/1jSfMPxmNI73ETYzZMtK36xChvh2Fl7I6I2sq6Lf4t1U/edit?tab=t.hyznfxvun7i3
42,Central (Walnut) hardware pinout availability,Hardware / Integration,2026-05-26,,Untracked,https://docs.google.com/document/d/1Li2EbuAkWzE1JvVKV33W9RMsWedrD0MNOKKEl0DYVXw/edit?usp=drive_web&tab=t.k69myej9j18
43,Maple board manual and software flashing process,Hardware / Integration,2026-05-26,,Untracked,https://docs.google.com/document/d/1Li2EbuAkWzE1JvVKV33W9RMsWedrD0MNOKKEl0DYVXw/edit?usp=drive_web&tab=t.k69myej9j18
44,J1939 DM services P0 requirements (which DM1-DM30 services needed),Hardware / Integration,2026-04-30,,Untracked,https://docs.google.com/document/d/1AQUh0VlId7qgn9xgxNHFH0AAFIFgrvgjtIQ5FF6ZiYQ/edit?usp=drive_web&tab=t.c847ey13o0f3
45,UDS services P0 specification,Hardware / Integration,2026-03-31,,Untracked,https://docs.google.com/document/d/1GRTfI-lDXVJmEXpsRNZ52bbq8zc96SlXJRUvX3kfMn8/edit?tab=t.iyy5myhts216
46,CANopen support for DCU-to-ICU (ABB motor controller) communication,Hardware / Integration,2026-04-30,,Untracked,https://docs.google.com/document/d/1AQUh0VlId7qgn9xgxNHFH0AAFIFgrvgjtIQ5FF6ZiYQ/edit?usp=drive_web&tab=t.c847ey13o0f3
47,PyArch multiple component instances with unique DTC vaults (class-based SWCs),System Design,2026-04-23,,Untracked,https://docs.google.com/document/d/1GRSaWpkqmQhy2PA4-1PwQmo72INlVk2X-t5Fn9Pgpaw/edit?usp=drive_web&tab=t.wt4hhaqgwx6i
48,SOME/IP service interface design best practices for grouped data,System Design,2026-05-08,,Untracked,https://docs.google.com/document/d/1PeOgB1M2phxDc_Y_g__-AOXLXItzekfsTkEBPUvuJcg/edit?usp=drive_web&tab=t.8dypuclsowjv
49,SOME/IP payload profiling and throttling mechanisms,System Design,2026-05-08,,Untracked,https://docs.google.com/document/d/1PeOgB1M2phxDc_Y_g__-AOXLXItzekfsTkEBPUvuJcg/edit?usp=drive_web&tab=t.8dypuclsowjv
50,Etherloop data timeout counter mechanism,System Design,2026-05-22,,Untracked,https://docs.google.com/document/d/1Kp_bJO2-UOXQxXYijxr9KzIwKi0TrwEjmJiCQ5YHrrg/edit?usp=drive_web&tab=t.u5anwuq2kjqz
51,Adaptive AUTOSAR payload app porting to new batch modeling method,System Design,2026-05-26,,Untracked,https://docs.google.com/document/d/1Li2EbuAkWzE1JvVKV33W9RMsWedrD0MNOKKEl0DYVXw/edit?usp=drive_web&tab=t.k69myej9j18
52,Data logging requirements (separate from middleware; needs dedicated meeting),System Design,2026-05-26,,Untracked,https://docs.google.com/document/d/1Li2EbuAkWzE1JvVKV33W9RMsWedrD0MNOKKEl0DYVXw/edit?usp=drive_web&tab=t.k69myej9j18
53,Fault/signal display data path and source-of-truth architecture,System Design,2026-05-11,,Untracked,https://docs.google.com/document/d/15CM41icC6pcgArP7JjLinWRKCJQQ17vWdYnEO5Je9Lg/edit?usp=drive_web&tab=t.q5e3a56o5ixt
54,Android UI direct SOM/IP communication to central (bypasses signal gateway),System Design,2026-05-08,,Untracked,https://docs.google.com/document/d/1PeOgB1M2phxDc_Y_g__-AOXLXItzekfsTkEBPUvuJcg/edit?usp=drive_web&tab=t.8dypuclsowjv
55,BuildKite test runs 70-90 min (expected 15-30); file-change-based filtering requested,Build / CI,2026-04-06,,Untracked,https://docs.google.com/document/d/1tyrm4FfAQm5F0W8uaKkV5LTVcRR-mMMb3aRmAu1HxuQ/edit?tab=t.pcc8fex7x6v
56,BuildKite access and login issues (Okta team string errors for Komatsu devs),Build / CI,2026-04-06,,Untracked,https://docs.google.com/document/d/1tyrm4FfAQm5F0W8uaKkV5LTVcRR-mMMb3aRmAu1HxuQ/edit?tab=t.pcc8fex7x6v
57,Presubmit test local execution documentation,Build / CI,2026-04-08,,Untracked,https://docs.google.com/document/d/1Je2JN360lKXWCo7F8XBoNJu2utDi3iadox50Un97urg/edit?tab=t.9hprky27gc4c
58,Ruby CI dependency failure and downstream propagation to Katana repo,Build / CI,2026-05-05,,Untracked,https://docs.google.com/document/d/1QHKCssb2v83HRCm7O0SQdJdadXN9CLGhvoCDLKPZbMs/edit?usp=drive_web&tab=t.pcaieyyvt49c
59,SIL test timeout extension due to build node resource constraints,Build / CI,2026-05-22,,Untracked,https://docs.google.com/document/d/1Kp_bJO2-UOXQxXYijxr9KzIwKi0TrwEjmJiCQ5YHrrg/edit?usp=drive_web&tab=t.u5anwuq2kjqz
60,Third-party Bazel dependency workflow (S3 vs. local repo vs. Azure),Build / CI,2026-04-14,,Untracked,https://docs.google.com/document/d/1WJ-n2dq2DSXHNdF249u855R_jr1sZW8sAZ0utYHqeNI/edit?tab=t.b8s7l8g3tm66
61,GitHub CODEOWNERS / branch protection for Katana-folder-only commits,Build / CI,2026-04-30,,Untracked,https://docs.google.com/document/d/1AQUh0VlId7qgn9xgxNHFH0AAFIFgrvgjtIQ5FF6ZiYQ/edit?usp=drive_web&tab=t.c847ey13o0f3
62,RT stubs code generation issues growing unwieldy (Mike's PR),Build / CI,2026-03-18,,Untracked,https://docs.google.com/document/d/1jSfMPxmNI73ETYzZMtK36xChvh2Fl7I6I2sq6Lf4t1U/edit?tab=t.hyznfxvun7i3
63,Bazel mock generation for timer/debouncer utilities,Build / CI,2026-04-28,,Untracked,https://docs.google.com/document/d/1UJm8dyettCBMXzvWXB1XULxAUNWSzy1KVsm0tm_C2MY/edit?usp=drive_web&tab=t.fx932ec1o6ve
64,Custom SQLite database access policy and key management (security vetting),Security,2026-05-06,,Untracked,https://docs.google.com/document/d/1K0O_L93Ppzh62s5PTGw8vT8_t2Rq5HZ0Bpf1VRsUX_I/edit?usp=drive_web&tab=t.kuogthwov2ac
65,Polarian admin access for Komatsu team members,Security,2026-05-07,,Untracked,https://docs.google.com/document/d/1Zk4RMeKlUxYM1dO2YfqMObj6mwTv2s6M8zxCRkYCDrA/edit?usp=drive_web&tab=t.h05md97l9wkw
66,Supplementary engineering reference doc for requirements (Polarian access limitations),Security,2026-05-13,,Untracked,https://docs.google.com/document/d/1QHyZeos6IQCaCP-EhYPTB1Ggs8eOSL4q4Am5BIFi0dI/edit?usp=drive_web&tab=t.3sot0e84a12a
